"Guid","SBQQ__FilterField__c","SBQQ__FilterValue__c","SBQQ__Operator__c","SBQQ__Product__c","SBQQ__Required__c","SBQQ__Rule__c","SBQQ__Type__c","SBQQ__ValueAttribute__c","SBQQ__ValueField__c","SBQQ__ValueObject__c"
39999878-55eb-4573-adf6-ae217de694ee,"#N/A","#N/A","#N/A","#N/A",false,f8a71fc4-ea6c-4425-8ee3-c6740c6d7a58,Add,"#N/A","#N/A","#N/A"
4b3b63ad-fbd2-4cce-b5dc-9f9961cf3640,"#N/A","#N/A","#N/A","#N/A",false,f8a71fc4-ea6c-4425-8ee3-c6740c6d7a58,Enable,"#N/A","#N/A","#N/A"
85187fdc-7fa4-42ae-9f82-a797a298d21e,"#N/A","#N/A","#N/A","#N/A",false,f8a71fc4-ea6c-4425-8ee3-c6740c6d7a58,Remove,"#N/A","#N/A","#N/A"
c646faad-ffc5-4158-8d54-e85d4dda9153,"#N/A","#N/A","#N/A","#N/A",false,f8a71fc4-ea6c-4425-8ee3-c6740c6d7a58,Add,"#N/A","#N/A","#N/A"
