"Guid","Name","SBQQ__Category__c","SBQQ__ConfigurationFieldSet__c","SBQQ__ConfiguredSKU__c","SBQQ__DiscountSchedule__c","SBQQ__DynamicProductFilterFieldSet__c","SBQQ__DynamicProductLookupFieldSet__c","SBQQ__MaxOptionCount__c","SBQQ__MinOptionCount__c","SBQQ__Number__c","SBQQ__OptionSelectionMethod__c"
0f1254ef-5ccb-4034-a0ec-02afd8ce001a,Beverages,"#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",1.0,10.0,"#N/A"
2f60e047-9056-4de2-955a-a1a187c52797,Services,"#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",0.0,11.0,"#N/A"
6a3cf49b-3457-4d90-bf65-444bff7acb4c,Services,"#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",1.0,11.0,"#N/A"
a1a47100-b176-455a-baf6-4ae72f9a2ec3,Equipment,"#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",1.0,12.0,"#N/A"
a868b29c-d8a0-408e-a7cf-4ea290cda0ad,Equipment,"#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",1.0,12.0,"#N/A"
ea527a6f-22ea-40a5-89e7-e1a98903088f,Beverages,"#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",1.0,10.0,"#N/A"
