"Guid","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
2ab57d68-cf76-4f5e-a12b-a960f1c194ea,false,"#N/A",707Hn0000CUIQWX,"#N/A",a344x0000000vMeAAI::QuoteCalculator,"#N/A","#N/A"
2c6bfa95-a379-42d1-96c5-404a3a5001c3,false,"#N/A",707Hn0000CUIQWa,"#N/A",a344x0000000vWWAAY::QuoteCalculator,"#N/A","#N/A"
3120bdb7-1e69-40c7-be2c-fe828ec2d16b,false,"#N/A","#N/A",Completed,a344x0000000vWRAAY::QuoteCalculator,"#N/A","#N/A"
41c9e89e-28af-4fcd-9ff5-be5b4ed1d22e,true,"#N/A",707Hn0000CUIQWb,"#N/A",a344x0000000vW7AAI::QuoteDocumentService,"#N/A","#N/A"
a6dfabfd-8674-44b1-9c8e-6f52f01fdb60,false,"#N/A","#N/A",Completed,a344x0000000vWMAAY::QuoteCalculator,"#N/A","#N/A"
b3a7229a-ef99-427e-b1b8-4969b0c0be5a,false,"#N/A","#N/A",Completed,a344x0000000vW7AAI::QuoteCalculator,"#N/A","#N/A"
bc8bcb7c-b1ba-4d63-a5a0-26f3ed43753c,false,"#N/A",707Hn0000CUIQWY,Completed,a344x0000000vWCAAY::QuoteCalculator,"#N/A","#N/A"
f267bb1a-5814-43c1-ab63-c344dd62b0d5,false,"#N/A",707Hn0000CUIQWZ,Completed,a344x0000000vWHAAY::QuoteCalculator,"#N/A","#N/A"
