"Guid","SBQQ__AppliedImmediatelyContext__c","SBQQ__AppliedImmediately__c","SBQQ__Bundled__c","SBQQ__ComponentCodePosition__c","SBQQ__ComponentCode__c","SBQQ__ComponentDescriptionPosition__c","SBQQ__ComponentDescription__c","SBQQ__ConfiguredSKU__c","SBQQ__DefaultPricingTable__c","SBQQ__DiscountAmount__c","SBQQ__DiscountSchedule__c","SBQQ__Discount__c","SBQQ__DiscountedByPackage__c","SBQQ__ExistingQuantity__c","SBQQ__Feature__c","SBQQ__MaxQuantity__c","SBQQ__MinQuantity__c","SBQQ__Number__c","SBQQ__OptionalSKU__c","SBQQ__QuantityEditable__c","SBQQ__Quantity__c","SBQQ__QuoteLineVisibility__c","SBQQ__RenewalProductOption__c","SBQQ__Required__c","SBQQ__Selected__c","SBQQ__SubscriptionScope__c","SBQQ__System__c","SBQQ__Type__c","SBQQ__UnitPrice__c","SBQQ__UpliftedByPackage__c"
5df52235-0119-479d-94a8-9796a6955cf0,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",ea527a6f-22ea-40a5-89e7-e1a98903088f,"#N/A","#N/A",10.0,e420a352-835a-4faa-8044-1e4a92d94c61,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
5f981196-c919-494f-90b0-75b30b292e94,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",0f1254ef-5ccb-4034-a0ec-02afd8ce001a,"#N/A","#N/A",10.0,f67e6e39-4e69-4a7f-9517-412282e848a6,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
617eede1-4a2a-4c85-82f7-a709ad133bff,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",ea527a6f-22ea-40a5-89e7-e1a98903088f,"#N/A","#N/A",10.0,a8e656f3-792c-4f2c-b32c-3eb71fa9d139,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
6571242d-d2fd-483f-bd61-826a0a15d005,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",ea527a6f-22ea-40a5-89e7-e1a98903088f,"#N/A","#N/A",10.0,be072bf0-3bac-41f5-87dd-c37a07ff7bed,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
72c738b0-7619-43fa-92f2-e263cbe68f39,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",0f1254ef-5ccb-4034-a0ec-02afd8ce001a,"#N/A","#N/A",10.0,de09a405-2140-4b65-bd17-3d1c8ebbc709,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
7407033b-e33f-4dea-9023-77bb4aca5e25,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",ea527a6f-22ea-40a5-89e7-e1a98903088f,"#N/A","#N/A",10.0,f0845a2f-1ed1-4cf3-b0ab-35abb36e90ef,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
7653e713-a212-401e-99ed-cf538ed49c2c,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",a1a47100-b176-455a-baf6-4ae72f9a2ec3,"#N/A",1.0,12.0,030ce69b-8160-4787-9a33-eb33404a5f16,true,1.0,"#N/A","#N/A",true,true,"#N/A",false,Component,"#N/A",false
7d5562ea-d665-4056-97ae-95e3dea84655,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",a1a47100-b176-455a-baf6-4ae72f9a2ec3,"#N/A","#N/A",12.0,f931230d-2b95-4164-87dc-4aafa9950838,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
8409f99c-c3b6-4596-85f4-9dd8b708de76,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",a1a47100-b176-455a-baf6-4ae72f9a2ec3,"#N/A","#N/A",12.0,1d90699f-4387-433f-8bad-90195e1f4037,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
8d252acf-8ab3-49ca-be40-cc27d3a0cfa5,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",0f1254ef-5ccb-4034-a0ec-02afd8ce001a,"#N/A","#N/A",10.0,0a75eaea-e849-4367-80e4-4fdf44f04c68,false,0.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
