"Guid","Name","SBQQ__BorderColor__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeaderHidden__c","SBQQ__ConditionalPrintField__c","SBQQ__Content__c","SBQQ__DisplayOrder__c","SBQQ__FilterField__c","SBQQ__FilterOperator__c","SBQQ__FilterValue__c","SBQQ__GroupField__c","SBQQ__KeepTogether__c","SBQQ__KeepWithNext__c","SBQQ__KeepWithPrevious__c","SBQQ__PageBreak__c","SBQQ__QuoteTotalsPrinted__c","SBQQ__RollUpField__c","SBQQ__SummaryDisplay__c","SBQQ__Template__c","SBQQ__TopMargin__c"
10cc546b-1bd0-41b1-902a-a488c262983b,Bottom,"#N/A",0.0,false,"#N/A",a2688ee1-1a00-402f-90d4-a9633a9b9127,30.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",1b3daed3-156d-44ce-b048-d1b21c36f64c,0.0
5a57f61e-9434-44bc-aae5-a45cef18eacd,Top,"#N/A",0.0,false,"#N/A",cfbe4c63-6717-4ac2-adb5-13324ee782d9,10.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",1b3daed3-156d-44ce-b048-d1b21c36f64c,0.0
f2f918f3-fb5b-4f59-a325-aed3ab420218,Lines,"#N/A",0.0,false,"#N/A",cecb2010-2e9f-46ec-aa26-942cebec6375,20.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",1b3daed3-156d-44ce-b048-d1b21c36f64c,0.0
