"Guid","SBQQ__FilterType__c","SBQQ__FilterValue__c","SBQQ__FilterVariable__c","SBQQ__Index__c","SBQQ__Operator__c","SBQQ__Rule__c","SBQQ__TestedAttribute__c","SBQQ__TestedField__c","SBQQ__TestedObject__c","SBQQ__TestedVariable__c"
6ce84bc6-38e2-4d2c-877d-832a5fd7395e,Variable,"#N/A",be4ef337-4a20-49a2-a45e-9f1b4f793bea,"#N/A",less than,f8a71fc4-ea6c-4425-8ee3-c6740c6d7a58,"#N/A",Group Line Items,Quote,"#N/A"
ca8cec5b-8355-447e-8797-f282ed9bfa7b,Value,5,"#N/A","#N/A",less than,f8a71fc4-ea6c-4425-8ee3-c6740c6d7a58,"#N/A",Unit Price,Product Option,"#N/A"
